Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Non-random,500,0.3,Random,X-learner,Omit covariate,0.317,0.217,"[0.255, 0.379]",0.422,0.053,"[0.407, 0.437]",0.258,0.035,"[0.248, 0.268]",5.042,0.225,"[4.978, 5.106]",50
Non-random,500,0.3,Random,DR-learner,Omit covariate,0.626,0.177,"[0.576, 0.677]",0.383,0.052,"[0.368, 0.398]",0.248,0.030,"[0.239, 0.256]",5.419,0.545,"[5.264, 5.574]",50
Non-random,500,0.3,Core,S-learner,Omit covariate,0.721,0.114,"[0.688, 0.753]",0.531,0.089,"[0.506, 0.556]",0.342,0.074,"[0.321, 0.364]",3.842,0.193,"[3.787, 3.897]",50
Non-random,500,0.3,Core,T-learner,Omit covariate,0.572,0.233,"[0.506, 0.639]",0.528,0.055,"[0.513, 0.544]",0.411,0.069,"[0.392, 0.431]",5.133,0.715,"[4.929, 5.336]",50
Non-random,500,0.3,Core,X-learner,Omit covariate,0.504,0.242,"[0.435, 0.573]",0.499,0.077,"[0.477, 0.521]",0.298,0.045,"[0.285, 0.311]",3.831,0.230,"[3.766, 3.896]",50
Non-random,500,0.3,Core,DR-learner,Omit covariate,0.538,0.206,"[0.479, 0.596]",0.544,0.044,"[0.531, 0.556]",0.390,0.064,"[0.372, 0.408]",5.030,0.625,"[4.852, 5.208]",50
Non-random,500,0.3,Edge,S-learner,Omit covariate,0.671,0.131,"[0.633, 0.708]",0.486,0.083,"[0.463, 0.510]",0.295,0.082,"[0.272, 0.318]",5.552,0.550,"[5.395, 5.708]",50
Non-random,500,0.3,Edge,T-learner,Omit covariate,0.624,0.146,"[0.583, 0.666]",0.449,0.068,"[0.430, 0.468]",0.281,0.063,"[0.263, 0.298]",3.759,0.462,"[3.627, 3.890]",50
Non-random,500,0.3,Edge,X-learner,Omit covariate,0.668,0.119,"[0.634, 0.702]",0.471,0.075,"[0.450, 0.492]",0.311,0.085,"[0.287, 0.335]",3.754,0.256,"[3.682, 3.827]",50
Non-random,500,0.3,Edge,DR-learner,Omit covariate,0.500,0.225,"[0.436, 0.564]",0.371,0.065,"[0.353, 0.389]",0.209,0.041,"[0.197, 0.221]",3.220,0.373,"[3.114, 3.326]",50
Non-random,1000,0.3,Random,S-learner,No omission,0.386,0.213,"[0.325, 0.446]",0.449,0.063,"[0.431, 0.467]",0.234,0.029,"[0.225, 0.242]",6.165,0.281,"[6.085, 6.245]",50
Non-random,1000,0.3,Random,T-learner,No omission,0.546,0.221,"[0.483, 0.609]",0.366,0.052,"[0.352, 0.381]",0.222,0.023,"[0.215, 0.228]",4.743,0.354,"[4.642, 4.843]",50
Non-random,1000,0.3,Random,X-learner,No omission,0.407,0.224,"[0.343, 0.471]",0.376,0.062,"[0.359, 0.394]",0.207,0.023,"[0.200, 0.213]",4.868,0.190,"[4.814, 4.922]",50
Non-random,1000,0.3,Random,DR-learner,No omission,0.527,0.208,"[0.468, 0.586]",0.334,0.046,"[0.320, 0.347]",0.188,0.014,"[0.184, 0.192]",4.493,0.286,"[4.411, 4.574]",50
Non-random,1000,0.3,Core,S-learner,No omission,0.659,0.091,"[0.633, 0.685]",0.500,0.075,"[0.479, 0.521]",0.252,0.039,"[0.241, 0.263]",3.641,0.144,"[3.600, 3.682]",50
Non-random,1000,0.3,Core,T-learner,No omission,0.525,0.191,"[0.471, 0.579]",0.497,0.051,"[0.483, 0.512]",0.324,0.037,"[0.313, 0.334]",4.007,0.475,"[3.872, 4.142]",50
Non-random,1000,0.3,Core,X-learner,No omission,0.485,0.230,"[0.419, 0.550]",0.448,0.051,"[0.434, 0.463]",0.245,0.029,"[0.236, 0.253]",3.324,0.200,"[3.268, 3.381]",50
Non-random,1000,0.3,Core,DR-learner,No omission,0.519,0.138,"[0.480, 0.558]",0.464,0.054,"[0.448, 0.479]",0.268,0.030,"[0.259, 0.277]",3.728,0.315,"[3.639, 3.818]",50
Non-random,1000,0.3,Edge,S-learner,No omission,0.658,0.073,"[0.638, 0.679]",0.521,0.046,"[0.508, 0.534]",0.320,0.084,"[0.296, 0.344]",5.182,0.405,"[5.067, 5.297]",50
Non-random,1000,0.3,Edge,T-learner,No omission,0.519,0.195,"[0.463, 0.574]",0.413,0.059,"[0.396, 0.430]",0.239,0.053,"[0.224, 0.254]",3.322,0.280,"[3.243, 3.402]",50
Non-random,1000,0.3,Edge,X-learner,No omission,0.568,0.194,"[0.513, 0.623]",0.406,0.051,"[0.392, 0.421]",0.212,0.037,"[0.201, 0.222]",3.372,0.167,"[3.324, 3.419]",50
Non-random,1000,0.3,Edge,DR-learner,No omission,0.397,0.179,"[0.346, 0.448]",0.359,0.049,"[0.345, 0.373]",0.164,0.023,"[0.158, 0.171]",2.873,0.227,"[2.809, 2.938]",50
Non-random,1000,0.3,Random,S-learner,Omit covariate,0.450,0.237,"[0.382, 0.517]",0.363,0.054,"[0.347, 0.378]",0.210,0.020,"[0.204, 0.216]",5.731,0.301,"[5.645, 5.816]",50
Non-random,1000,0.3,Random,T-learner,Omit covariate,0.674,0.150,"[0.632, 0.717]",0.403,0.049,"[0.389, 0.417]",0.242,0.027,"[0.234, 0.250]",5.139,0.333,"[5.045, 5.234]",50
Non-random,1000,0.3,Random,X-learner,Omit covariate,0.281,0.183,"[0.229, 0.333]",0.386,0.042,"[0.374, 0.398]",0.217,0.025,"[0.210, 0.224]",4.789,0.133,"[4.751, 4.827]",50
Non-random,1000,0.3,Random,DR-learner,Omit covariate,0.610,0.156,"[0.566, 0.654]",0.360,0.048,"[0.346, 0.374]",0.208,0.023,"[0.202, 0.215]",4.897,0.432,"[4.774, 5.020]",50
Non-random,1000,0.3,Core,S-learner,Omit covariate,0.631,0.116,"[0.598, 0.664]",0.465,0.059,"[0.449, 0.482]",0.286,0.047,"[0.273, 0.300]",3.471,0.163,"[3.425, 3.518]",50
Non-random,1000,0.3,Core,T-learner,Omit covariate,0.509,0.192,"[0.455, 0.564]",0.506,0.049,"[0.492, 0.520]",0.352,0.038,"[0.341, 0.363]",4.546,0.427,"[4.425, 4.668]",50
Non-random,1000,0.3,Core,X-learner,Omit covariate,0.471,0.231,"[0.406, 0.537]",0.462,0.051,"[0.447, 0.476]",0.258,0.034,"[0.248, 0.267]",3.478,0.195,"[3.422, 3.533]",50
Non-random,1000,0.3,Core,DR-learner,Omit covariate,0.484,0.198,"[0.427, 0.540]",0.513,0.046,"[0.500, 0.526]",0.320,0.036,"[0.309, 0.330]",4.409,0.536,"[4.256, 4.561]",50
Non-random,1000,0.3,Edge,S-learner,Omit covariate,0.657,0.083,"[0.634, 0.681]",0.455,0.064,"[0.436, 0.473]",0.224,0.043,"[0.212, 0.236]",4.632,0.445,"[4.506, 4.759]",50
Non-random,1000,0.3,Edge,T-learner,Omit covariate,0.586,0.139,"[0.547, 0.625]",0.407,0.069,"[0.388, 0.427]",0.237,0.054,"[0.221, 0.252]",3.440,0.280,"[3.361, 3.520]",50
Non-random,1000,0.3,Edge,X-learner,Omit covariate,0.592,0.157,"[0.547, 0.636]",0.415,0.058,"[0.399, 0.432]",0.237,0.047,"[0.223, 0.250]",3.417,0.166,"[3.369, 3.464]",50
Non-random,1000,0.3,Edge,DR-learner,Omit covariate,0.379,0.237,"[0.311, 0.446]",0.323,0.069,"[0.303, 0.342]",0.168,0.024,"[0.161, 0.175]",2.845,0.171,"[2.796, 2.893]",50
Non-random,250,0.5,Random,S-learner,No omission,0.561,0.269,"[0.484, 0.637]",0.531,0.081,"[0.508, 0.554]",0.395,0.073,"[0.374, 0.415]",7.270,0.412,"[7.152, 7.387]",50
Non-random,250,0.5,Random,T-learner,No omission,0.607,0.235,"[0.540, 0.674]",0.469,0.085,"[0.445, 0.493]",0.371,0.070,"[0.351, 0.390]",5.674,0.527,"[5.525, 5.824]",50
Non-random,250,0.5,Random,X-learner,No omission,0.504,0.237,"[0.437, 0.571]",0.449,0.061,"[0.432, 0.466]",0.280,0.047,"[0.267, 0.293]",5.300,0.221,"[5.237, 5.363]",50
Non-random,250,0.5,Random,DR-learner,No omission,0.591,0.205,"[0.533, 0.649]",0.444,0.073,"[0.423, 0.464]",0.312,0.060,"[0.295, 0.329]",5.473,0.506,"[5.330, 5.617]",50
Non-random,250,0.5,Core,S-learner,No omission,0.721,0.142,"[0.681, 0.761]",0.582,0.090,"[0.556, 0.608]",0.408,0.089,"[0.383, 0.433]",4.374,0.296,"[4.289, 4.458]",50
Non-random,250,0.5,Core,T-learner,No omission,0.595,0.260,"[0.521, 0.669]",0.551,0.071,"[0.531, 0.571]",0.445,0.072,"[0.425, 0.466]",4.895,0.799,"[4.668, 5.122]",50
Non-random,250,0.5,Core,X-learner,No omission,0.607,0.228,"[0.542, 0.671]",0.510,0.075,"[0.489, 0.531]",0.326,0.066,"[0.308, 0.345]",3.772,0.330,"[3.678, 3.866]",50
Non-random,250,0.5,Core,DR-learner,No omission,0.571,0.238,"[0.503, 0.638]",0.504,0.082,"[0.480, 0.527]",0.386,0.082,"[0.363, 0.409]",4.422,0.730,"[4.214, 4.629]",50
Non-random,250,0.5,Edge,S-learner,No omission,0.726,0.108,"[0.695, 0.757]",0.590,0.105,"[0.560, 0.620]",0.536,0.214,"[0.475, 0.596]",6.324,0.592,"[6.156, 6.492]",50
Non-random,250,0.5,Edge,T-learner,No omission,0.611,0.261,"[0.537, 0.685]",0.588,0.094,"[0.561, 0.615]",0.511,0.179,"[0.460, 0.562]",4.543,0.720,"[4.338, 4.748]",50
Non-random,250,0.5,Edge,X-learner,No omission,0.571,0.267,"[0.495, 0.647]",0.512,0.085,"[0.488, 0.536]",0.322,0.104,"[0.292, 0.352]",3.715,0.321,"[3.624, 3.806]",50
Non-random,250,0.5,Edge,DR-learner,No omission,0.541,0.270,"[0.464, 0.617]",0.532,0.095,"[0.505, 0.559]",0.395,0.126,"[0.359, 0.431]",3.939,0.431,"[3.817, 4.062]",50
Non-random,250,0.5,Random,S-learner,Omit covariate,0.579,0.214,"[0.518, 0.640]",0.500,0.090,"[0.475, 0.525]",0.387,0.080,"[0.364, 0.410]",6.994,0.431,"[6.872, 7.117]",50
Non-random,250,0.5,Random,T-learner,Omit covariate,0.663,0.250,"[0.592, 0.734]",0.512,0.081,"[0.489, 0.535]",0.414,0.082,"[0.391, 0.437]",6.050,0.599,"[5.880, 6.220]",50
Non-random,250,0.5,Random,X-learner,Omit covariate,0.499,0.247,"[0.429, 0.569]",0.462,0.070,"[0.442, 0.482]",0.311,0.046,"[0.298, 0.324]",5.330,0.251,"[5.258, 5.401]",50
Non-random,250,0.5,Random,DR-learner,Omit covariate,0.574,0.264,"[0.499, 0.650]",0.459,0.074,"[0.438, 0.480]",0.320,0.059,"[0.303, 0.337]",5.510,0.657,"[5.324, 5.697]",50
Non-random,250,0.5,Core,S-learner,Omit covariate,0.728,0.117,"[0.695, 0.761]",0.565,0.084,"[0.541, 0.588]",0.432,0.093,"[0.406, 0.459]",4.205,0.239,"[4.137, 4.273]",50
Non-random,250,0.5,Core,T-learner,Omit covariate,0.617,0.255,"[0.544, 0.689]",0.593,0.089,"[0.567, 0.618]",0.466,0.085,"[0.442, 0.490]",5.087,0.847,"[4.847, 5.328]",50
Non-random,250,0.5,Core,X-learner,Omit covariate,0.604,0.243,"[0.535, 0.674]",0.516,0.077,"[0.494, 0.538]",0.357,0.071,"[0.337, 0.377]",4.148,0.498,"[4.007, 4.290]",50
Non-random,250,0.5,Core,DR-learner,Omit covariate,0.495,0.268,"[0.419, 0.571]",0.534,0.073,"[0.513, 0.554]",0.417,0.095,"[0.390, 0.444]",4.738,0.724,"[4.532, 4.944]",50
Non-random,250,0.5,Edge,S-learner,Omit covariate,0.732,0.107,"[0.701, 0.762]",0.588,0.087,"[0.563, 0.613]",0.487,0.164,"[0.440, 0.533]",5.945,0.703,"[5.745, 6.145]",50
Non-random,250,0.5,Edge,T-learner,Omit covariate,0.729,0.144,"[0.688, 0.770]",0.573,0.107,"[0.542, 0.603]",0.499,0.138,"[0.459, 0.538]",4.849,0.766,"[4.632, 5.067]",50
Non-random,250,0.5,Edge,X-learner,Omit covariate,0.692,0.130,"[0.655, 0.729]",0.523,0.098,"[0.495, 0.551]",0.376,0.125,"[0.340, 0.412]",3.986,0.348,"[3.887, 4.085]",50
Non-random,250,0.5,Edge,DR-learner,Omit covariate,0.694,0.215,"[0.633, 0.756]",0.535,0.101,"[0.506, 0.563]",0.408,0.152,"[0.365, 0.451]",4.329,0.851,"[4.087, 4.570]",50
Non-random,500,0.5,Random,S-learner,No omission,0.544,0.209,"[0.484, 0.603]",0.503,0.065,"[0.484, 0.521]",0.324,0.049,"[0.310, 0.338]",6.714,0.351,"[6.614, 6.814]",50
Non-random,500,0.5,Random,T-learner,No omission,0.589,0.248,"[0.519, 0.660]",0.421,0.073,"[0.400, 0.442]",0.292,0.041,"[0.280, 0.303]",5.207,0.368,"[5.102, 5.311]",50
Non-random,500,0.5,Random,X-learner,No omission,0.405,0.247,"[0.335, 0.475]",0.389,0.054,"[0.374, 0.405]",0.218,0.024,"[0.211, 0.225]",4.898,0.208,"[4.839, 4.957]",50
Non-random,500,0.5,Random,DR-learner,No omission,0.563,0.232,"[0.497, 0.629]",0.393,0.058,"[0.376, 0.409]",0.236,0.034,"[0.227, 0.246]",4.923,0.354,"[4.823, 5.024]",50
Non-random,500,0.5,Core,S-learner,No omission,0.686,0.098,"[0.658, 0.714]",0.519,0.089,"[0.494, 0.544]",0.300,0.062,"[0.282, 0.318]",3.927,0.176,"[3.877, 3.977]",50
Non-random,500,0.5,Core,T-learner,No omission,0.555,0.243,"[0.486, 0.624]",0.524,0.069,"[0.504, 0.543]",0.390,0.056,"[0.374, 0.406]",4.394,0.567,"[4.233, 4.556]",50
Non-random,500,0.5,Core,X-learner,No omission,0.610,0.141,"[0.570, 0.651]",0.463,0.073,"[0.442, 0.483]",0.260,0.046,"[0.247, 0.273]",3.515,0.223,"[3.451, 3.578]",50
Non-random,500,0.5,Core,DR-learner,No omission,0.461,0.246,"[0.391, 0.530]",0.479,0.059,"[0.462, 0.496]",0.301,0.046,"[0.288, 0.314]",3.815,0.569,"[3.653, 3.976]",50
Non-random,500,0.5,Edge,S-learner,No omission,0.740,0.097,"[0.713, 0.768]",0.568,0.087,"[0.544, 0.593]",0.460,0.149,"[0.418, 0.503]",5.535,0.505,"[5.392, 5.679]",50
Non-random,500,0.5,Edge,T-learner,No omission,0.568,0.235,"[0.501, 0.635]",0.505,0.087,"[0.481, 0.530]",0.372,0.115,"[0.339, 0.405]",3.925,0.455,"[3.796, 4.055]",50
Non-random,500,0.5,Edge,X-learner,No omission,0.507,0.237,"[0.440, 0.575]",0.436,0.066,"[0.418, 0.455]",0.238,0.047,"[0.225, 0.251]",3.467,0.180,"[3.416, 3.518]",50
Non-random,500,0.5,Edge,DR-learner,No omission,0.432,0.268,"[0.356, 0.509]",0.434,0.087,"[0.409, 0.458]",0.275,0.092,"[0.249, 0.301]",3.454,0.348,"[3.356, 3.553]",50
Non-random,500,0.5,Random,S-learner,Omit covariate,0.559,0.217,"[0.497, 0.621]",0.444,0.070,"[0.424, 0.463]",0.302,0.040,"[0.291, 0.314]",6.299,0.393,"[6.187, 6.411]",50
Non-random,500,0.5,Random,T-learner,Omit covariate,0.613,0.267,"[0.537, 0.689]",0.450,0.060,"[0.433, 0.467]",0.330,0.046,"[0.317, 0.344]",5.468,0.436,"[5.344, 5.592]",50
Non-random,500,0.5,Random,X-learner,Omit covariate,0.379,0.234,"[0.312, 0.445]",0.396,0.050,"[0.382, 0.411]",0.232,0.023,"[0.225, 0.238]",4.911,0.207,"[4.852, 4.970]",50
Non-random,500,0.5,Random,DR-learner,Omit covariate,0.563,0.233,"[0.497, 0.630]",0.415,0.063,"[0.397, 0.432]",0.258,0.031,"[0.249, 0.266]",5.181,0.477,"[5.045, 5.316]",50
Non-random,500,0.5,Core,S-learner,Omit covariate,0.670,0.157,"[0.626, 0.715]",0.523,0.090,"[0.497, 0.548]",0.361,0.061,"[0.344, 0.378]",3.813,0.200,"[3.756, 3.870]",50
Non-random,500,0.5,Core,T-learner,Omit covariate,0.528,0.287,"[0.447, 0.610]",0.545,0.073,"[0.524, 0.565]",0.412,0.060,"[0.395, 0.429]",4.548,0.602,"[4.377, 4.719]",50
Non-random,500,0.5,Core,X-learner,Omit covariate,0.554,0.218,"[0.491, 0.616]",0.485,0.063,"[0.467, 0.503]",0.299,0.061,"[0.281, 0.316]",3.753,0.344,"[3.656, 3.851]",50
Non-random,500,0.5,Core,DR-learner,Omit covariate,0.522,0.242,"[0.454, 0.591]",0.511,0.066,"[0.492, 0.530]",0.361,0.065,"[0.343, 0.380]",4.367,0.536,"[4.214, 4.519]",50
Non-random,500,0.5,Edge,S-learner,Omit covariate,0.704,0.078,"[0.682, 0.726]",0.545,0.065,"[0.527, 0.564]",0.395,0.095,"[0.368, 0.422]",5.178,0.591,"[5.010, 5.346]",50
Non-random,500,0.5,Edge,T-learner,Omit covariate,0.682,0.164,"[0.635, 0.729]",0.496,0.089,"[0.471, 0.522]",0.392,0.112,"[0.360, 0.424]",4.184,0.491,"[4.044, 4.323]",50
Non-random,500,0.5,Edge,X-learner,Omit covariate,0.628,0.167,"[0.580, 0.675]",0.449,0.074,"[0.428, 0.470]",0.275,0.073,"[0.254, 0.296]",3.548,0.252,"[3.476, 3.619]",50
Non-random,500,0.5,Edge,DR-learner,Omit covariate,0.587,0.229,"[0.521, 0.652]",0.443,0.093,"[0.416, 0.469]",0.298,0.082,"[0.275, 0.322]",3.670,0.454,"[3.540, 3.799]",50
Non-random,1000,0.5,Random,S-learner,No omission,0.417,0.203,"[0.359, 0.475]",0.468,0.058,"[0.452, 0.485]",0.264,0.036,"[0.254, 0.274]",6.078,0.239,"[6.010, 6.145]",50
Non-random,1000,0.5,Random,T-learner,No omission,0.518,0.264,"[0.443, 0.593]",0.372,0.054,"[0.356, 0.387]",0.235,0.033,"[0.226, 0.245]",4.737,0.302,"[4.651, 4.823]",50
Non-random,1000,0.5,Random,X-learner,No omission,0.318,0.220,"[0.256, 0.381]",0.348,0.046,"[0.335, 0.361]",0.183,0.017,"[0.179, 0.188]",4.618,0.158,"[4.573, 4.663]",50
Non-random,1000,0.5,Random,DR-learner,No omission,0.443,0.223,"[0.379, 0.506]",0.334,0.044,"[0.321, 0.346]",0.191,0.016,"[0.187, 0.196]",4.511,0.207,"[4.453, 4.570]",50
Non-random,1000,0.5,Core,S-learner,No omission,0.697,0.087,"[0.673, 0.722]",0.488,0.067,"[0.469, 0.507]",0.258,0.043,"[0.246, 0.271]",3.550,0.125,"[3.514, 3.586]",50
Non-random,1000,0.5,Core,T-learner,No omission,0.479,0.265,"[0.403, 0.554]",0.495,0.063,"[0.478, 0.513]",0.331,0.054,"[0.316, 0.347]",3.839,0.466,"[3.706, 3.971]",50
Non-random,1000,0.5,Core,X-learner,No omission,0.539,0.187,"[0.486, 0.593]",0.455,0.042,"[0.443, 0.467]",0.239,0.027,"[0.231, 0.247]",3.315,0.183,"[3.263, 3.366]",50
Non-random,1000,0.5,Core,DR-learner,No omission,0.457,0.249,"[0.387, 0.528]",0.462,0.053,"[0.447, 0.477]",0.259,0.033,"[0.250, 0.268]",3.486,0.296,"[3.402, 3.571]",50
Non-random,1000,0.5,Edge,S-learner,No omission,0.677,0.081,"[0.653, 0.700]",0.535,0.048,"[0.521, 0.548]",0.359,0.071,"[0.339, 0.379]",4.821,0.333,"[4.726, 4.915]",50
Non-random,1000,0.5,Edge,T-learner,No omission,0.560,0.207,"[0.501, 0.619]",0.453,0.062,"[0.435, 0.470]",0.277,0.065,"[0.259, 0.295]",3.567,0.298,"[3.483, 3.652]",50
Non-random,1000,0.5,Edge,X-learner,No omission,0.487,0.249,"[0.416, 0.557]",0.391,0.062,"[0.373, 0.409]",0.196,0.043,"[0.184, 0.208]",3.236,0.192,"[3.181, 3.290]",50
Non-random,1000,0.5,Edge,DR-learner,No omission,0.341,0.228,"[0.276, 0.406]",0.379,0.062,"[0.361, 0.397]",0.200,0.036,"[0.190, 0.210]",3.074,0.227,"[3.009, 3.138]",50
Non-random,1000,0.5,Random,S-learner,Omit covariate,0.482,0.208,"[0.423, 0.541]",0.412,0.071,"[0.392, 0.432]",0.245,0.032,"[0.236, 0.254]",5.656,0.244,"[5.587, 5.725]",50
Non-random,1000,0.5,Random,T-learner,Omit covariate,0.562,0.247,"[0.492, 0.632]",0.405,0.054,"[0.389, 0.420]",0.261,0.027,"[0.253, 0.268]",5.000,0.363,"[4.897, 5.103]",50
Non-random,1000,0.5,Random,X-learner,Omit covariate,0.278,0.210,"[0.218, 0.338]",0.365,0.051,"[0.351, 0.380]",0.196,0.016,"[0.191, 0.200]",4.605,0.180,"[4.554, 4.656]",50
Non-random,1000,0.5,Random,DR-learner,Omit covariate,0.472,0.228,"[0.408, 0.537]",0.379,0.047,"[0.366, 0.393]",0.203,0.022,"[0.197, 0.210]",4.652,0.298,"[4.567, 4.736]",50
Non-random,1000,0.5,Core,S-learner,Omit covariate,0.653,0.090,"[0.627, 0.678]",0.461,0.054,"[0.446, 0.476]",0.283,0.045,"[0.270, 0.295]",3.435,0.151,"[3.392, 3.478]",50
Non-random,1000,0.5,Core,T-learner,Omit covariate,0.460,0.245,"[0.390, 0.529]",0.504,0.061,"[0.486, 0.521]",0.356,0.041,"[0.345, 0.368]",4.243,0.381,"[4.135, 4.352]",50
Non-random,1000,0.5,Core,X-learner,Omit covariate,0.532,0.209,"[0.472, 0.591]",0.455,0.048,"[0.441, 0.468]",0.262,0.034,"[0.252, 0.272]",3.502,0.201,"[3.444, 3.559]",50
Non-random,1000,0.5,Core,DR-learner,Omit covariate,0.495,0.220,"[0.433, 0.557]",0.483,0.066,"[0.464, 0.501]",0.298,0.041,"[0.286, 0.309]",3.919,0.400,"[3.806, 4.033]",50
Non-random,1000,0.5,Edge,S-learner,Omit covariate,0.667,0.066,"[0.648, 0.686]",0.462,0.058,"[0.445, 0.478]",0.276,0.065,"[0.258, 0.295]",4.208,0.349,"[4.109, 4.307]",50
Non-random,1000,0.5,Edge,T-learner,Omit covariate,0.633,0.084,"[0.609, 0.656]",0.449,0.067,"[0.430, 0.468]",0.307,0.061,"[0.289, 0.324]",3.868,0.318,"[3.778, 3.959]",50
Non-random,1000,0.5,Edge,X-learner,Omit covariate,0.599,0.104,"[0.569, 0.628]",0.416,0.051,"[0.402, 0.431]",0.236,0.042,"[0.224, 0.248]",3.389,0.136,"[3.350, 3.427]",50
Non-random,1000,0.5,Edge,DR-learner,Omit covariate,0.442,0.223,"[0.378, 0.505]",0.372,0.080,"[0.349, 0.395]",0.207,0.049,"[0.194, 0.221]",3.189,0.241,"[3.120, 3.257]",50
Non-random,250,0.7,Random,S-learner,No omission,0.670,0.250,"[0.599, 0.741]",0.625,0.099,"[0.597, 0.654]",0.505,0.108,"[0.475, 0.536]",7.482,0.466,"[7.349, 7.614]",50
Non-random,250,0.7,Random,T-learner,No omission,0.676,0.220,"[0.614, 0.739]",0.571,0.095,"[0.544, 0.598]",0.463,0.078,"[0.441, 0.485]",5.998,0.382,"[5.890, 6.107]",50
Non-random,250,0.7,Random,X-learner,No omission,0.544,0.239,"[0.476, 0.612]",0.446,0.075,"[0.425, 0.468]",0.279,0.050,"[0.265, 0.293]",5.266,0.361,"[5.164, 5.369]",50
Non-random,250,0.7,Random,DR-learner,No omission,0.600,0.262,"[0.526, 0.675]",0.573,0.111,"[0.541, 0.604]",0.413,0.093,"[0.387, 0.440]",5.715,0.492,"[5.575, 5.855]",50
Non-random,250,0.7,Core,S-learner,No omission,0.699,0.127,"[0.663, 0.735]",0.595,0.107,"[0.564, 0.625]",0.470,0.093,"[0.444, 0.497]",4.526,0.277,"[4.447, 4.605]",50
Non-random,250,0.7,Core,T-learner,No omission,0.693,0.286,"[0.612, 0.774]",0.603,0.089,"[0.577, 0.628]",0.490,0.098,"[0.462, 0.518]",4.625,0.652,"[4.440, 4.810]",50
Non-random,250,0.7,Core,X-learner,No omission,0.680,0.179,"[0.629, 0.731]",0.538,0.069,"[0.519, 0.558]",0.370,0.080,"[0.347, 0.393]",4.114,0.442,"[3.988, 4.240]",50
Non-random,250,0.7,Core,DR-learner,No omission,0.597,0.255,"[0.525, 0.670]",0.516,0.083,"[0.493, 0.540]",0.396,0.099,"[0.368, 0.424]",4.282,0.672,"[4.091, 4.473]",50
Non-random,250,0.7,Edge,S-learner,No omission,0.825,0.164,"[0.778, 0.871]",0.690,0.127,"[0.654, 0.726]",0.788,0.287,"[0.707, 0.870]",6.467,0.580,"[6.302, 6.632]",50
Non-random,250,0.7,Edge,T-learner,No omission,0.748,0.246,"[0.678, 0.817]",0.674,0.130,"[0.637, 0.711]",0.713,0.220,"[0.650, 0.775]",5.358,1.127,"[5.038, 5.679]",50
Non-random,250,0.7,Edge,X-learner,No omission,0.603,0.256,"[0.531, 0.676]",0.521,0.091,"[0.495, 0.547]",0.380,0.106,"[0.350, 0.410]",3.916,0.305,"[3.830, 4.003]",50
Non-random,250,0.7,Edge,DR-learner,No omission,0.755,0.288,"[0.673, 0.836]",0.652,0.120,"[0.618, 0.686]",0.650,0.236,"[0.583, 0.717]",4.832,0.856,"[4.589, 5.075]",50
Non-random,250,0.7,Random,S-learner,Omit covariate,0.781,0.151,"[0.738, 0.824]",0.593,0.107,"[0.562, 0.623]",0.472,0.103,"[0.442, 0.501]",7.190,0.481,"[7.053, 7.327]",50
Non-random,250,0.7,Random,T-learner,Omit covariate,0.737,0.232,"[0.671, 0.802]",0.568,0.098,"[0.540, 0.596]",0.490,0.094,"[0.463, 0.517]",6.321,0.517,"[6.174, 6.468]",50
Non-random,250,0.7,Random,X-learner,Omit covariate,0.638,0.257,"[0.565, 0.711]",0.460,0.063,"[0.442, 0.478]",0.326,0.048,"[0.312, 0.340]",5.442,0.338,"[5.346, 5.538]",50
Non-random,250,0.7,Random,DR-learner,Omit covariate,0.579,0.266,"[0.503, 0.655]",0.558,0.102,"[0.529, 0.587]",0.445,0.108,"[0.414, 0.475]",5.935,0.597,"[5.765, 6.104]",50
Non-random,250,0.7,Core,S-learner,Omit covariate,0.748,0.143,"[0.708, 0.789]",0.602,0.086,"[0.577, 0.626]",0.470,0.119,"[0.436, 0.504]",4.221,0.317,"[4.131, 4.311]",50
Non-random,250,0.7,Core,T-learner,Omit covariate,0.659,0.249,"[0.588, 0.730]",0.602,0.100,"[0.573, 0.630]",0.493,0.100,"[0.464, 0.521]",5.044,0.933,"[4.779, 5.310]",50
Non-random,250,0.7,Core,X-learner,Omit covariate,0.728,0.144,"[0.687, 0.769]",0.561,0.076,"[0.539, 0.582]",0.425,0.091,"[0.399, 0.450]",4.483,0.586,"[4.316, 4.649]",50
Non-random,250,0.7,Core,DR-learner,Omit covariate,0.685,0.228,"[0.620, 0.750]",0.565,0.090,"[0.540, 0.591]",0.470,0.106,"[0.440, 0.500]",4.775,0.788,"[4.551, 4.999]",50
Non-random,250,0.7,Edge,S-learner,Omit covariate,0.775,0.121,"[0.741, 0.810]",0.650,0.124,"[0.615, 0.685]",0.698,0.231,"[0.633, 0.764]",6.296,0.827,"[6.061, 6.531]",50
Non-random,250,0.7,Edge,T-learner,Omit covariate,0.819,0.145,"[0.777, 0.860]",0.665,0.125,"[0.630, 0.701]",0.700,0.241,"[0.632, 0.769]",5.534,1.032,"[5.241, 5.827]",50
