Treatment assignment,Training sample size,Treatment imbalance,Spatial overlap of test and training data,Meta-learner,Covariate omission,Targeting error mean,Targeting error SD,Targeting error 95% CI,Targeting imprecision mean,Targeting imprecision SD,Targeting imprecision 95% CI,Ranking error mean,Ranking error SD,Ranking error 95% CI,Estimation error mean,Estimation error SD,Estimation error 95% CI,n Virtual studies
Random,500,0.3,Random,DR-learner,Omit covariate,0.503,0.268,"[0.427, 0.579]",0.369,0.056,"[0.353, 0.385]",0.240,0.035,"[0.230, 0.250]",4.814,0.433,"[4.691, 4.937]",50
Random,500,0.3,Core,S-learner,Omit covariate,0.675,0.129,"[0.638, 0.712]",0.558,0.082,"[0.535, 0.581]",0.325,0.065,"[0.306, 0.343]",4.155,0.272,"[4.077, 4.232]",50
Random,500,0.3,Core,T-learner,Omit covariate,0.512,0.279,"[0.432, 0.591]",0.529,0.078,"[0.507, 0.551]",0.391,0.079,"[0.369, 0.413]",4.076,0.550,"[3.920, 4.233]",50
Random,500,0.3,Core,X-learner,Omit covariate,0.517,0.218,"[0.456, 0.579]",0.492,0.063,"[0.474, 0.510]",0.292,0.049,"[0.278, 0.306]",3.562,0.297,"[3.477, 3.646]",50
Random,500,0.3,Core,DR-learner,Omit covariate,0.564,0.242,"[0.495, 0.633]",0.515,0.064,"[0.497, 0.534]",0.335,0.051,"[0.321, 0.350]",3.979,0.456,"[3.850, 4.109]",50
Random,500,0.3,Edge,S-learner,Omit covariate,0.715,0.110,"[0.684, 0.746]",0.554,0.082,"[0.530, 0.577]",0.373,0.126,"[0.338, 0.409]",6.168,0.455,"[6.039, 6.297]",50
Random,500,0.3,Edge,T-learner,Omit covariate,0.642,0.126,"[0.606, 0.678]",0.485,0.078,"[0.463, 0.508]",0.322,0.080,"[0.300, 0.345]",3.829,0.390,"[3.718, 3.940]",50
Random,500,0.3,Edge,X-learner,Omit covariate,0.614,0.247,"[0.543, 0.684]",0.459,0.057,"[0.443, 0.475]",0.324,0.079,"[0.301, 0.346]",3.720,0.244,"[3.651, 3.790]",50
Random,500,0.3,Edge,DR-learner,Omit covariate,0.572,0.222,"[0.509, 0.635]",0.398,0.073,"[0.377, 0.419]",0.230,0.061,"[0.212, 0.247]",3.510,0.484,"[3.372, 3.647]",50
Random,1000,0.3,Random,S-learner,No omission,0.427,0.206,"[0.369, 0.486]",0.472,0.057,"[0.456, 0.488]",0.248,0.032,"[0.239, 0.257]",6.398,0.221,"[6.336, 6.461]",50
Random,1000,0.3,Random,T-learner,No omission,0.481,0.260,"[0.407, 0.555]",0.345,0.057,"[0.328, 0.361]",0.213,0.024,"[0.206, 0.220]",4.574,0.256,"[4.502, 4.647]",50
Random,1000,0.3,Random,X-learner,No omission,0.471,0.247,"[0.401, 0.542]",0.347,0.048,"[0.334, 0.361]",0.210,0.025,"[0.203, 0.217]",4.915,0.168,"[4.867, 4.962]",50
Random,1000,0.3,Random,DR-learner,No omission,0.348,0.206,"[0.290, 0.406]",0.320,0.037,"[0.310, 0.330]",0.188,0.018,"[0.183, 0.193]",4.335,0.209,"[4.276, 4.394]",50
Random,1000,0.3,Core,S-learner,No omission,0.661,0.099,"[0.633, 0.689]",0.527,0.063,"[0.509, 0.545]",0.247,0.034,"[0.237, 0.256]",3.795,0.113,"[3.762, 3.827]",50
Random,1000,0.3,Core,T-learner,No omission,0.569,0.224,"[0.505, 0.633]",0.466,0.055,"[0.451, 0.482]",0.289,0.050,"[0.275, 0.303]",3.558,0.336,"[3.462, 3.653]",50
Random,1000,0.3,Core,X-learner,No omission,0.570,0.132,"[0.533, 0.608]",0.435,0.048,"[0.421, 0.448]",0.239,0.044,"[0.226, 0.251]",3.337,0.161,"[3.291, 3.382]",50
